customer_id,cart_amount,average_order_value,previous_purchases,previous_abandonments,previous_reminders,previous_recoveries,purchase_frequency,cart_vs_average,minutes_since_abandonment,natural_probability,intervention_probability,natural_recovered,intervention_recovered
CUST117,4130,2647,12,5,2,0,12.0,1.56,966,0.142,0.312,0,0
CUST118,7906,3187,7,5,0,5,1.4,2.48,1436,0.163,0.388,0,1
CUST119,1892,871,1,2,3,0,0.11,2.17,481,0.05,0.095,0,0
CUST120,1922,4925,13,4,1,3,1.3,0.39,1003,0.324,0.564,0,0
CUST121,4168,768,11,1,3,3,5.5,5.43,743,0.361,0.551,0,1
CUST122,2301,3438,1,3,2,1,0.5,0.67,932,0.05,0.125,0,0
CUST123,9550,674,1,2,1,1,0.5,14.17,421,0.111,0.201,0,0
CUST124,346,2269,7,2,1,4,2.33,0.15,568,0.351,0.546,0,1
CUST125,543,1929,3,5,0,1,0.75,0.28,734,0.05,0.175,0,1
CUST126,2162,2673,1,1,3,4,0.12,0.81,131,0.274,0.379,0,1
CUST127,1010,1393,14,4,1,4,1.56,0.73,1350,0.32,0.585,1,0
CUST128,2068,755,1,3,3,3,0.08,2.74,1005,0.05,0.14,0,1
CUST129,2367,1161,10,4,1,0,1.0,2.04,564,0.217,0.382,0,0
CUST130,7733,3163,12,4,4,2,1.2,2.44,1036,0.193,0.363,0,0
CUST131,7079,1437,6,3,3,1,0.75,4.93,695,0.116,0.226,0,0
CUST132,2800,3060,13,2,2,2,1.62,0.92,1407,0.234,0.444,1,0
CUST133,9415,1263,13,0,2,1,1.3,7.45,123,0.5,0.695,0,1
CUST134,1142,1501,13,2,3,5,1.3,0.76,590,0.497,0.737,1,1
CUST135,2073,4656,6,1,3,1,0.67,0.45,718,0.161,0.271,0,0
CUST136,9421,2352,13,4,4,4,1.3,4.01,54,0.494,0.704,0,0
CUST137,5362,2690,0,1,2,5,0.0,1.99,696,0.196,0.321,1,0
CUST138,8991,3783,2,1,0,0,0.29,2.38,441,0.137,0.237,0,0
CUST139,1691,3531,9,5,2,4,3.0,0.48,108,0.398,0.598,1,0
CUST140,7542,1168,8,3,3,3,1.6,6.46,849,0.215,0.375,0,0
CUST141,8272,3327,13,0,2,5,1.18,2.49,1080,0.469,0.724,1,1
CUST142,2548,948,0,1,2,1,0.0,2.69,524,0.07,0.135,0,1
CUST143,4070,4027,5,1,3,4,0.56,1.01,1025,0.195,0.34,0,0
CUST144,607,1090,12,5,0,3,6.0,0.56,942,0.307,0.552,0,0
CUST145,641,3813,13,2,0,3,4.33,0.17,666,0.462,0.717,0,1
CUST146,7438,3464,2,3,0,1,0.29,2.15,1207,0.05,0.165,0,0
CUST147,1551,3041,10,1,2,1,0.91,0.51,1046,0.216,0.381,1,0
CUST148,1984,3362,11,5,1,1,2.2,0.59,300,0.31,0.5,1,0
CUST149,9536,1117,5,5,3,3,0.62,8.54,1187,0.05,0.18,0,0
CUST150,7982,3147,10,1,3,0,0.91,2.54,906,0.184,0.319,0,1
CUST151,7865,960,11,4,0,2,11.0,8.19,926,0.27,0.49,1,0
CUST152,6599,1128,2,4,4,4,0.2,5.85,948,0.05,0.15,0,0
CUST153,8092,836,14,4,1,2,4.67,9.68,1027,0.305,0.54,0,1
CUST154,4359,3313,2,4,1,0,0.25,1.32,897,0.05,0.135,0,0
CUST155,5843,3481,11,2,3,3,1.1,1.68,1391,0.207,0.397,1,0
CUST156,6633,3241,2,2,0,4,0.4,2.05,582,0.244,0.404,0,0
CUST157,2617,1731,10,0,4,5,2.0,1.51,717,0.427,0.622,0,0
CUST158,9457,3710,4,4,0,2,0.36,2.55,772,0.126,0.276,0,0
CUST159,6228,4812,2,5,3,4,0.33,1.29,38,0.217,0.332,0,0
CUST160,2838,3299,15,1,1,1,3.0,0.86,159,0.538,0.768,0,1
CUST161,2447,4921,1,5,2,4,0.14,0.5,1224,0.05,0.17,0,0
CUST162,4191,1856,14,0,3,2,1.4,2.26,910,0.388,0.593,1,0
CUST163,7984,4177,7,4,1,2,1.17,1.91,398,0.255,0.42,0,0
CUST164,8941,4109,14,2,3,4,4.67,2.18,858,0.428,0.663,0,0
CUST165,9385,1633,8,0,3,2,0.67,5.75,211,0.378,0.523,0,0
CUST166,8710,2835,2,1,2,3,0.29,3.07,302,0.245,0.36,1,0
CUST167,6795,4195,11,0,3,0,1.83,1.62,1029,0.209,0.354,0,0
CUST168,5793,3571,7,0,2,0,2.33,1.62,300,0.275,0.395,1,0
CUST169,386,4370,4,5,3,3,4.0,0.09,163,0.202,0.322,0,0
CUST170,5234,4995,13,0,2,1,13.0,1.05,250,0.475,0.67,1,1
CUST171,9082,4244,2,0,3,4,0.18,2.14,34,0.343,0.458,0,1
CUST172,6080,1676,9,3,0,4,0.9,3.63,493,0.411,0.641,0,0
CUST173,8612,1201,11,0,4,4,1.22,7.17,1040,0.347,0.537,1,0
CUST174,566,856,12,2,2,5,6.0,0.66,732,0.464,0.709,1,0
CUST175,9245,1349,10,1,0,2,0.91,6.85,694,0.366,0.576,1,0
CUST176,1333,4306,15,5,1,1,15.0,0.31,938,0.282,0.512,0,1
CUST177,6824,2134,1,2,2,4,0.12,3.2,1113,0.072,0.192,0,0
CUST178,5738,2065,9,2,0,5,4.5,2.78,560,0.463,0.708,0,1
CUST179,8429,3776,14,3,2,1,1.75,2.23,1418,0.191,0.396,0,0
CUST180,7355,2684,2,5,3,0,0.67,2.74,1234,0.05,0.105,0,0
CUST181,7605,1155,10,5,2,2,0.83,6.58,1235,0.118,0.298,0,0
CUST182,7426,3379,14,0,2,4,1.27,2.2,563,0.557,0.807,0,0
CUST183,2921,1114,12,2,4,5,4.0,2.62,64,0.557,0.772,0,1
CUST184,6301,4089,1,1,0,1,0.14,1.54,742,0.092,0.197,0,1
CUST185,1559,1756,14,2,2,3,4.67,0.89,1176,0.345,0.58,0,1
CUST186,3348,2783,7,0,0,5,0.78,1.2,1023,0.37,0.595,0,1
CUST187,4978,2644,8,5,3,1,1.0,1.88,1422,0.05,0.18,0,1
CUST188,5536,1106,14,1,3,0,2.33,5.01,1368,0.191,0.366,0,0
CUST189,8635,2878,9,1,1,2,4.5,3.0,460,0.368,0.553,0,0
CUST190,9676,2439,15,0,2,4,1.88,3.97,756,0.544,0.804,0,1
CUST191,8142,1206,2,2,3,5,0.29,6.75,1077,0.125,0.255,0,0
CUST192,7932,1104,4,2,0,3,0.44,7.18,1393,0.091,0.256,0,0
CUST193,2334,1990,4,3,4,0,1.33,1.17,1062,0.05,0.11,0,0
CUST194,4405,2347,11,4,2,0,1.0,1.88,403,0.254,0.414,0,1
CUST195,9813,2980,2,4,1,4,0.67,3.29,316,0.227,0.372,0,0
CUST196,9749,3265,1,0,0,0,0.09,2.99,543,0.116,0.206,0,0
CUST197,5249,748,15,5,4,2,3.75,7.02,990,0.252,0.452,0,0
CUST198,7502,2936,14,0,0,1,1.75,2.56,852,0.42,0.655,0,1
CUST199,5958,1676,10,5,2,5,3.33,3.55,817,0.322,0.547,0,1
CUST200,4682,1369,10,1,3,0,2.5,3.42,921,0.181,0.316,1,1
CUST201,9764,3646,13,1,1,2,3.25,2.68,641,0.432,0.657,0,1
CUST202,679,4716,14,3,2,3,2.0,0.14,185,0.518,0.753,1,0
CUST203,8408,2262,11,0,0,2,1.0,3.72,1224,0.31,0.53,0,1
CUST204,6292,566,3,3,1,2,0.5,11.12,826,0.095,0.22,1,1
CUST205,6629,2094,11,4,2,0,1.38,3.17,1033,0.128,0.288,0,1
CUST206,5855,1473,4,0,3,2,0.67,3.97,1143,0.091,0.196,0,0
CUST207,937,4670,12,4,0,0,1.0,0.2,281,0.344,0.544,1,1
CUST208,5673,4243,4,4,4,1,0.67,1.34,1256,0.05,0.125,0,0
CUST209,8325,2951,10,4,4,4,2.0,2.82,1153,0.199,0.379,0,1
CUST210,736,3213,3,3,4,2,0.38,0.23,1223,0.05,0.13,0,0
CUST211,8889,2364,1,4,3,1,0.08,3.76,1289,0.05,0.11,0,0
CUST212,2100,1710,7,0,4,5,7.0,1.23,391,0.417,0.582,0,1
CUST213,8026,3882,6,3,4,4,0.5,2.07,128,0.329,0.469,1,1
CUST214,3137,3162,15,4,3,2,1.67,0.99,942,0.307,0.522,0,1
CUST215,9443,2665,15,1,1,2,3.75,3.54,612,0.488,0.733,0,0
CUST216,8161,2867,6,5,3,2,0.67,2.85,715,0.102,0.227,0,0
CUST217,9199,2740,9,0,4,5,1.29,3.36,778,0.389,0.574,0,0
CUST218,1594,1699,9,0,2,5,1.12,0.94,710,0.443,0.658,0,0
CUST219,4750,2252,6,4,2,4,3.0,2.11,282,0.314,0.484,0,0
CUST220,4114,2486,1,5,4,1,0.5,1.65,108,0.05,0.095,0,0
CUST221,6966,1323,4,0,4,1,0.5,5.27,1338,0.05,0.125,0,0
CUST222,9706,2853,10,2,0,0,1.11,3.4,476,0.305,0.485,0,0
CUST223,6804,805,5,3,1,0,1.67,8.45,1015,0.05,0.165,0,0
CUST224,2058,2871,1,0,2,4,0.2,0.72,687,0.208,0.328,0,0
CUST225,4770,4795,15,1,4,3,7.5,0.99,395,0.511,0.726,1,0
CUST226,9602,2607,5,0,2,2,1.25,3.68,1382,0.089,0.219,0,0
CUST227,6867,3821,13,4,2,0,6.5,1.8,1371,0.111,0.291,0,1
CUST228,4158,3150,7,0,2,3,1.4,1.32,915,0.272,0.437,0,1
CUST229,4171,593,8,5,2,5,0.73,7.03,128,0.409,0.614,1,1
CUST230,5133,3821,9,5,0,5,0.9,1.34,753,0.349,0.594,1,0
CUST231,7113,4417,4,3,4,2,0.44,1.61,1438,0.05,0.14,0,0
CUST232,8909,2289,7,5,4,0,0.78,3.89,915,0.05,0.14,0,1
CUST233,9683,1419,1,4,4,1,0.33,6.82,1100,0.05,0.095,0,0
CUST234,9854,4119,3,5,1,5,1.5,2.39,1002,0.13,0.3,0,0
CUST235,7784,955,14,1,4,3,14.0,8.15,1155,0.334,0.539,0,0
CUST236,3870,3024,0,3,2,0,0.0,1.28,1185,0.05,0.1,1,0
CUST237,5003,1022,1,0,3,0,0.33,4.9,838,0.05,0.095,0,0
CUST238,6454,3943,11,3,3,3,1.0,1.64,165,0.427,0.617,0,0
CUST239,6739,1589,11,0,1,4,3.67,4.24,1084,0.398,0.633,0,1
CUST240,9220,528,0,2,3,5,0.0,17.46,869,0.116,0.226,0,0
CUST241,2148,4273,11,1,2,1,1.0,0.5,66,0.437,0.612,1,0
CUST242,850,628,7,1,0,0,0.7,1.35,915,0.167,0.317,0,0
CUST243,9143,2504,1,3,3,1,1.0,3.65,445,0.05,0.11,0,0
CUST244,5553,2418,10,4,4,5,2.0,2.3,486,0.373,0.568,0,0
CUST245,1298,4770,7,3,2,2,0.7,0.27,1141,0.112,0.262,0,0
CUST246,6544,3999,15,0,2,5,2.5,1.64,1075,0.52,0.795,0,1
CUST247,4248,2956,12,1,4,3,2.4,1.44,462,0.423,0.608,0,1
CUST248,9430,4293,1,4,3,3,0.33,2.2,1086,0.05,0.14,0,0
CUST249,9075,3205,2,3,2,0,2.0,2.83,391,0.057,0.127,0,0
CUST250,9456,823,2,1,4,5,0.25,11.49,445,0.256,0.371,1,0
CUST251,2222,2983,0,1,1,5,0.0,0.74,981,0.159,0.299,0,0
CUST252,6536,3749,7,4,2,2,0.78,1.74,955,0.124,0.274,0,0
CUST253,7992,3446,15,3,0,5,3.75,2.32,656,0.569,0.874,1,1
CUST254,9868,2312,4,0,2,4,0.33,4.27,1187,0.183,0.333,0,1
CUST255,8480,3202,7,3,4,1,0.64,2.65,1128,0.05,0.155,0,0
CUST256,6070,4502,15,3,1,5,5.0,1.35,347,0.611,0.9,0,1
CUST257,1094,4941,1,4,0,0,0.14,0.22,14,0.122,0.212,0,0
CUST258,7771,1056,4,0,1,4,4.0,7.36,765,0.287,0.452,0,0
CUST259,9338,4458,15,0,0,4,15.0,2.09,843,0.566,0.856,1,1
CUST260,7354,4888,9,0,4,5,4.5,1.5,368,0.471,0.656,0,1
CUST261,6107,2474,6,4,4,2,0.86,2.47,548,0.14,0.25,1,0
CUST262,1620,4260,7,5,1,2,0.64,0.38,1339,0.05,0.215,0,1
CUST263,454,3606,12,4,3,0,4.0,0.13,1440,0.052,0.207,0,0
CUST264,3763,3213,3,4,0,1,0.3,1.17,1418,0.05,0.175,0,1
CUST265,839,1109,8,4,4,5,1.33,0.76,368,0.346,0.521,1,1
CUST266,9539,1681,12,0,2,1,1.2,5.67,493,0.401,0.586,0,1
CUST267,1584,4928,10,3,1,5,0.83,0.32,1026,0.35,0.59,0,1
CUST268,6799,4080,7,0,2,4,7.0,1.67,669,0.361,0.541,0,0
CUST269,6450,4190,15,1,2,4,5.0,1.54,885,0.493,0.753,0,1
CUST270,4690,1202,9,1,0,0,1.29,3.9,316,0.337,0.507,0,0
CUST271,385,3691,10,2,0,0,1.25,0.1,632,0.274,0.454,0,1
CUST272,9425,1585,2,1,3,3,0.22,5.95,1137,0.058,0.158,0,1
CUST273,6611,3399,2,4,4,2,0.4,1.94,26,0.145,0.215,0,0
CUST274,2574,2488,5,5,3,1,1.0,1.03,551,0.07,0.17,0,1
CUST275,8233,1869,13,2,3,2,2.17,4.41,158,0.463,0.658,1,1
CUST276,5291,4561,6,3,0,1,0.86,1.16,14,0.312,0.467,0,0
CUST277,2530,3199,14,2,3,5,2.33,0.79,616,0.517,0.767,0,1
CUST278,5075,4424,10,1,3,2,0.91,1.15,1424,0.16,0.325,0,0
CUST279,6280,2485,10,3,2,3,1.0,2.53,234,0.408,0.603,1,0
CUST280,3734,1973,0,5,3,5,0.0,1.89,898,0.05,0.16,0,1
CUST281,4439,3851,15,1,2,1,5.0,1.15,1349,0.28,0.495,0,0
CUST282,6866,1105,14,4,3,4,1.56,6.21,1095,0.331,0.566,0,0
CUST283,1692,3926,1,2,4,4,0.25,0.43,224,0.21,0.3,0,0
CUST284,472,862,12,2,3,0,2.4,0.55,202,0.35,0.505,1,0
CUST285,9943,2310,14,2,3,3,1.56,4.3,1415,0.277,0.497,1,0
CUST286,2201,4454,3,2,3,0,0.5,0.49,291,0.107,0.172,0,0
CUST287,7478,2194,15,2,3,0,1.88,3.41,1427,0.18,0.365,0,1
CUST288,2992,1442,0,2,0,5,0.0,2.07,500,0.25,0.405,1,1
CUST289,3322,3992,14,1,3,5,1.27,0.83,382,0.589,0.839,0,1
CUST290,372,2116,14,4,3,3,3.5,0.18,440,0.422,0.642,1,0
CUST291,5640,1012,3,4,1,2,0.38,5.57,404,0.154,0.279,1,0
CUST292,6731,4509,10,4,3,4,5.0,1.49,1203,0.209,0.404,0,0
CUST293,2494,1913,9,4,4,0,4.5,1.3,642,0.117,0.227,0,1
CUST294,2558,3558,4,4,3,3,0.57,0.72,1178,0.05,0.17,0,0
CUST295,5032,4902,5,4,1,3,1.67,1.03,288,0.267,0.427,0,0
CUST296,3496,939,11,0,3,1,1.22,3.72,787,0.298,0.458,0,0
CUST297,3040,4528,13,5,3,3,1.3,0.67,170,0.426,0.636,1,0
CUST298,5029,2892,1,2,1,4,0.12,1.74,345,0.246,0.381,0,0
CUST299,9198,4557,3,4,0,2,0.33,2.02,752,0.105,0.245,0,1
CUST300,4355,4115,6,3,0,5,6.0,1.06,610,0.353,0.568,0,1
CUST301,9932,1212,14,0,1,1,2.33,8.19,1412,0.288,0.508,0,0
CUST302,3690,4007,5,4,1,1,0.5,0.92,122,0.221,0.351,0,1
CUST303,9683,4913,5,2,2,2,0.56,1.97,548,0.205,0.335,0,0
CUST304,2378,1280,4,3,0,2,1.33,1.86,1437,0.05,0.2,0,0
CUST305,4702,2527,12,3,1,4,1.71,1.86,1286,0.308,0.553,0,1
CUST306,6346,1262,12,4,2,5,1.5,5.03,932,0.374,0.619,1,1
CUST307,9056,1263,14,5,2,0,3.5,7.17,815,0.222,0.412,0,0
CUST308,9267,4552,8,2,2,2,2.67,2.04,1184,0.153,0.313,0,0
CUST309,7829,3315,1,0,0,5,0.5,2.36,34,0.418,0.583,0,1
CUST310,2461,4239,0,3,1,5,0.0,0.58,1332,0.05,0.19,0,0
CUST311,1650,2744,2,5,2,2,0.18,0.6,762,0.05,0.15,0,0
CUST312,1794,3746,9,5,1,3,9.0,0.48,195,0.361,0.561,1,1
CUST313,5929,2352,14,0,0,5,2.0,2.52,247,0.7,0.9,1,1
CUST314,5433,2375,12,0,0,0,2.4,2.29,753,0.349,0.549,1,0
CUST315,438,1590,4,0,4,4,0.36,0.28,1250,0.13,0.25,0,0
CUST316,7548,2245,4,3,4,5,2.0,3.36,445,0.256,0.391,0,1
CUST317,2590,1508,12,2,3,2,2.4,1.72,508,0.368,0.553,0,1
CUST318,8782,2834,0,5,2,1,0.0,3.1,1243,0.05,0.115,0,0
CUST319,4249,947,7,3,3,0,0.64,4.49,1024,0.05,0.155,0,0
CUST320,9612,598,11,2,1,3,1.83,16.07,862,0.353,0.573,0,1
CUST321,525,4358,2,0,4,0,0.5,0.12,537,0.063,0.103,1,1
CUST322,7239,3760,9,5,4,3,1.29,1.93,1438,0.052,0.207,0,0
CUST323,8677,1750,8,0,2,0,2.67,4.96,417,0.277,0.407,0,1
CUST324,4209,1041,9,5,3,5,2.25,4.04,119,0.416,0.616,1,1
CUST325,507,4214,1,2,1,0,0.08,0.12,282,0.099,0.174,1,0
CUST326,4703,3340,8,1,2,1,8.0,1.41,242,0.327,0.472,0,1
CUST327,1562,4791,2,2,4,5,0.25,0.33,1017,0.117,0.232,0,1
CUST328,9702,1867,11,1,2,0,0.92,5.2,1381,0.134,0.294,1,0
CUST329,8029,521,1,0,1,0,0.14,15.41,746,0.056,0.131,0,0
CUST330,7119,789,13,1,2,1,2.6,9.02,656,0.369,0.564,0,0
CUST331,1052,1478,1,1,1,4,0.5,0.71,822,0.176,0.311,0,0
CUST332,430,3045,10,0,4,3,2.5,0.14,756,0.339,0.504,1,0
CUST333,3501,2487,14,2,4,3,3.5,1.41,1120,0.316,0.521,1,0
CUST334,457,695,7,4,2,5,7.0,0.66,687,0.298,0.493,0,1
CUST335,7178,3019,3,1,4,1,3.0,2.38,1008,0.05,0.115,0,0
